A	N	T1/2	Nu	spin(halfs)
64	 146	1.1E-09	2.19	-6
64	 147	137160	1.029	-7
64	 148	1.65E-08	-0.162	-18
64	 149	812160	0.884	-7
64	 151	10368000	0.776	-7
64	 152	0.0000286	0.968	4
64	 153	20874240	0.388	-3
64	 154	1.17E-09	0.966	4
64	 155	0	-0.25724	-3
64	 156	2.21E-09	0.8214	4
64	 157	0	-0.33987	-3
64	 158	2.52E-09	0.786	4
64	 159	66960	-0.443	-3
64	 160	2.7E-09	0.724	4
65	 147	6120	1.705	1
65	 148	3600	-1.752	-4
65	 149	14832	1.352	1
65	 150	12528	-0.902	-4
65	 151	63360	0.9196	1
65	 152	63000	-0.582	-4
65	 153	202176	3.442	5
65	 154	33840	1.62	-6
65	 155	459648	2.012	3
65	 166	462240	1.72	-6
65	 157	3122064000	2.012	3
65	 158	4730400000	1.7587	-6
65	 159	0	2.0144	3
65	 160	6229440	1.7907	-6
65	 161	596160	0	#VALUE!
66	 147	78	0	#VALUE!
66	 149	253.8	0	#VALUE!
66	 151	1020	0	#VALUE!
66	 152	9.9E-09	0	#VALUE!
66	 153	22680	0	#VALUE!
66	 154	-1	0	#VALUE!
66	 155	36000	0	#VALUE!
66	 156	8.2E-10	0.788	4
66	 157	29160	-0.3012	-3
66	 158	1.66E-15	0.725	4
66	 159	12441600	-0.3543	-3
66	 160	1.96E-09	0.742	4
66	 161	0	-0.4803	5
66	 162	2.25E-09	0.693	4
66	 163	0	0.6734	-5
66	 164	2.39E-09	0.682	4
66	 165	8388	-0.5205	7
67	 152	161.8	-1.022	-4
67	 153	120	6.815	-11
67	 154	705.6	-0.6436	-4
67	 155	2880	3.513	5
67	 156	3360	2.993	8
67	 157	756	4.353	-7
67	 158	678	3.773	10
67	 159	2103	4.283	-7
67	 160	1536	3.713	10
67	 161	8928	4.253	-7
67	 162	4020	3.604	-12
67	 163	1.4412E+11	4.234	-7
67	 165	0	4.173	-7
67	 166	37843200000	3.6016	-14
68	 152	1.8E-09	-0.66	16
68	 153	37.1	-0.9345	-7
68	 154	0.000000039	0.16913	-22
68	 155	318	-0.6694	-7
68	 156	0.000033	0.8012	4
68	 157	1500	-0.4123	-3
68	 158	3E-10	0.7211	4
68	 159	2160	-0.3042	-3
68	 160	0.000034	1.2819	8
68	 161	11556	-0.3653	-3
68	 162	1.3E-09	0	4
68	 163	4506	0.5574	-5
68	 164	1.48E-09	0.69715	4
68	 165	37296	0.6433	-5
68	 166	1.85E-09	0.6491	4
68	 167	0	-0.5638512	7
68	 168	1.86E-09	0.626	4
68	 169	812160	0.523	-1
68	 170	1.9E-09	0.63313	4
68	 171	27072	0.6591	-5
69	 156	78	0.403	-4
69	 157	216	0.47615	1
